"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 13:16:39 IST 2024","Mon Oct 14 13:16:41 IST 2024","2250","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to Enter the Valid Custmore name in the CustmoreName field in Add BandCustmore Page",""
"passed","Mon Oct 14 13:15:33 IST 2024","Mon Oct 14 13:15:35 IST 2024","1676","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Enter Valid Input into all the fields in a AddBannedCustomer Page",""
"passed","Mon Oct 14 13:09:57 IST 2024","Mon Oct 14 13:09:57 IST 2024","316","","bannedCustomerPage.spec.js","Banned Customer Creation","","","verify All the objects in a Banned Custmore Page",""
"passed","Mon Oct 14 13:11:00 IST 2024","Mon Oct 14 13:11:01 IST 2024","1240","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to Enter the Valid Customer Name in the CustomerName field",""
"passed","Mon Oct 14 13:16:18 IST 2024","Mon Oct 14 13:16:20 IST 2024","2311","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a user to click on the Save Button,should show the Warning Message for Custmore Name field without input data",""
"passed","Mon Oct 14 13:11:20 IST 2024","Mon Oct 14 13:11:23 IST 2024","2382","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Verify Warning Message SelectIdProofDocument after clicking the SearchButton",""
"passed","Mon Oct 14 13:12:01 IST 2024","Mon Oct 14 13:12:10 IST 2024","8345","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Verify Warning Message Id Proof Number after clicking the Search Button",""
"passed","Mon Oct 14 13:13:42 IST 2024","Mon Oct 14 13:13:43 IST 2024","843","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Entere the Special Character from the Customer Name and IdProof Number fields and click on Search Button to Verify the Warning Message.",""
"passed","Mon Oct 14 13:15:11 IST 2024","Mon Oct 14 13:15:15 IST 2024","3317","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Verify the all the objects in a AddBannedCustomer page",""
"passed","Mon Oct 14 13:13:13 IST 2024","Mon Oct 14 13:13:23 IST 2024","9825","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to verify the No records found after click on the Search Button.",""
"passed","Mon Oct 14 13:14:32 IST 2024","Mon Oct 14 13:14:33 IST 2024","916","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to Click on the Banned Customre Link Page",""
"passed","Mon Oct 14 13:08:11 IST 2024","Mon Oct 14 13:09:32 IST 2024","81042","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User Login to the Application and Click on the Banned Custmore Link",""
"passed","Mon Oct 14 13:17:00 IST 2024","Mon Oct 14 13:17:02 IST 2024","2307","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to click on the Search button,Should verify the Warning Message for Mobile Number without input data from Add bBanned custmore Page",""
"passed","Mon Oct 14 13:10:18 IST 2024","Mon Oct 14 13:10:21 IST 2024","3421","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Verify Warning Message CustmoreName After clicking on the Search Button",""
"passed","Mon Oct 14 13:12:48 IST 2024","Mon Oct 14 13:12:54 IST 2024","6640","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a user click on the Reset Buttton after should remove the input values in the input fields in the Banned customer Page",""
"passed","Mon Oct 14 13:14:52 IST 2024","Mon Oct 14 13:14:53 IST 2024","337","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to click on the Add New Cusrtmore Button to navigate to the AddBannedCustomer Page",""
"passed","Mon Oct 14 13:11:41 IST 2024","Mon Oct 14 13:11:43 IST 2024","1424","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User Choose the Select Id Proof Document",""
"passed","Mon Oct 14 13:12:28 IST 2024","Mon Oct 14 13:12:29 IST 2024","316","","bannedCustomerPage.spec.js","Banned Customer Creation","","","As a User to Enter the Id ProofNo in the Id proofNo field is allowing 0 to 20",""
"passed","Mon Oct 14 13:10:40 IST 2024","Mon Oct 14 13:10:41 IST 2024","1257","","bannedCustomerPage.spec.js","Banned Customer Creation","","","AS a User To Enter the name in the CustomerName field is allowing 0-50",""
"passed","Mon Oct 14 13:14:02 IST 2024","Mon Oct 14 13:14:13 IST 2024","10821","","bannedCustomerPage.spec.js","Banned Customer Creation","","","When click on the Close Button to redirect into the Home page to Verify the any object from Home Page,",""
"passed","Mon Oct 14 13:15:54 IST 2024","Mon Oct 14 13:15:59 IST 2024","5847","","bannedCustomerPage.spec.js","Banned Customer Creation","","","Click on Reset Button after to remove all the input values from the fields to verify the input values to be removed",""
